person_key,first_name,last_name,display_name
P0084,Karel,Belohoubek,
P0085,Ludwigvan,Bencrisutto,
P0086,Tex,Beneke,
P0087,David,Bennett,
P0088,Robertrussell,Bennett,
P0089,Warren,Benson,
P0090,Charles,Benter,
P0091,Irving,Berlin,
P0092,Hector,Berlioz,
P0093,Elmer,Bernstein,
P0094,Leonard,Bernstein,
P0095,Fe,Bigelow,
P0096,Jerry,Bilik,
P0097,Ronald,Binge,
P0098,Eubie,Blake,
P0099,Ri,Blankenburg,
P0100,E,Boccalari,
P0101,Jerry,Bock,
P0102,Jg,Boehme,
P0103,William,Bolcom,
P0104,G,Bonelli,
P0105,Wh,Boom,
P0106,Louis,Boyer,
P0107,,Boyer,
P0108,Johannes,Brahms,
P0109,Har,Brasch,
P0110,Houston,Bright,
P0111,J0,Brockenshire,
P0112,Daniel,Bukvich,
P0113,William,Byrd,
P0114,John,Cacavas,
P0115,Lucien,Cailliet,
P0116,Bruce,Campbell,
P0117,Ernest0,Caneva,
P0118,Antonio,Vivaldi,
P0119,Eduardodi,Capua,
P0120,Phil,Cardew,
P0121,Romeo,Cascarino,
P0122,Philip,Catelinet,
P0123,Jimandy,Caudill,
P0124,Peter,Cetera,
P0125,Em,Chabrier,
P0126,Wpans,Chambers,
P0127,Johnbarnes,Chance,
P0128,Frank,Charles,
P0129,Jaya,Chattaway,
P0130,James,Christensen,
P0131,Oscare,Christensen,
P0132,Herbertl,Clarke,
P0133,Robert,Clerisse,
P0134,Eric,Coates,
P0135,Frankd,Cofield,
P0136,Georgem,Cohan,
P0137,Carleton,Colby,
P0138,Michael,Colgrass,
P0139,Phil,Collins,
P0140,E,Coole,
P0141,Aaron,Copland,
P0142,Robert,Crawford,
P0143,Giuseppe,Creatore,
P0144,Paul,Creston,
P0145,Hj,Crosby,
P0146,James,Curnow,
P0147,Frederic,Curzon,
P0148,Calvin,Custer,
P0149,Larry,Daehn,
P0150,Thomasf,Darcy,
P0151,J,Davenport,
P0152,Albert0,Davis,
P0153,Mv,Decampo,
P0154,Camille,Denardis,
P0155,Elliot,Delborgo,
P0156,Leo,Delibes,
P0157,D,Dellecese,
P0158,Norman,Dellojoio,
P0159,Lu,Denza,
P0160,,Desylva,
P0161,Walter,Donaldson,
P0162,Antonin,Dvorak,
P0163,Gus,Edwards,
P0164,Sherman,Edwards,
P0165,Louis,Elbel,
P0166,Edward,Elgar,
P0167,Duke,Ellington,
P0168,Zo,Elliott,
P0169,Dan,Emmett,
P0170,Jack,End,
P0171,Frank,Erickson,
P0172,Eric,Ewazen,
P0173,0R,Farrar,
P0174,Henry,Fillmore,
P0175,Bill,Finegan,
P0176,Walter,Finlayson,
P0177,Ge,Forrest,
P0178,Robert,Foster,
P0179,,Foster,
P0180,Richard,Fote,
P0181,Arthur,Frackenpohl,
P0182,Sv,Francis,
P0183,Jose,Franco,
P0184,Girolamo,Frescobaldi,
P0185,George,Frock,
P0186,Giovanni,Gabrieli,
P0187,Jacob,Gade,
P0188,Livingston,Gearhart,
P0189,George,Gershwin,
P0190,John,Gibson,
P0191,Ray,Gilbert,
P0192,Don,Gillis,
P0193,Alberto,Ginistera,
P0194,,Giordano,
P0195,Caesar,Giovannini,
P0196,Reinhold,Gliere,
P0197,Michael,Glinka,
P0198,,Godwin,
P0199,Ernest,Gold,
P0200,Jerry,Goldsmith,
P0201,Morton,Gould,
P0202,Cs,Grafulla,
P0203,Bernard,Green,
P0204,Lee,Greenwood,
P0205,Edward,Gregson,
P0206,Edward,Grieg,
P0207,Ferde,Grofe,
P0208,Edmundl,Gruber,
P0209,Clare,Grundman,
P0210,Carlos,Guermo,
P0211,Th,Guild,
P0212,Alexandre,Guilmant,
P0213,Bob,Haggart,
P0214,Albert,Hague,
P0215,Ja,Hale,
P0216,Ellisb,Hall,
P0217,Rb,Hall,
P0218,Georgefrederic,Handel,
P0219,Wc,Handy,
P0220,Johnanes,Hannsen,
P0221,Howard,Hanson,
P0222,Ey,Harburg,
P0223,B,Hardin,
P0224,Leigh,Harline,
P0225,Paul,Hart,
P0226,Lumirc,Havlicek,
P0227,Joseph,Haydn,
P0228,Michael,Haydn,
P0229,Al,Hayes,
P0230,T,Hayes,
P0231,Edward,Hazel,
P0232,Jc,Heed,
P0233,John,Heins,
P0234,Jim,Henson,
P0235,Victor,Herbert,
P0236,Jerry,Herman,
P0237,Ralph,Hermann,
P0238,Ljf,Herold,
P0239,John,Higgins,
P0240,Edward,Hines,
P0241,Ge,Holmes,
P0242,James,Horner,
P0243,Colgeorge,Howard,
P0244,Will,Huff,
P0245,Fred,Huffer,
P0246,Gh,Huffine,
P0247,Aw,Hughes,
P0248,Engelbert,Humperdinck,
P0249,,Hunsberger,
P0250,Herman,Hupfeld,
P0251,,Ippolitovlvanov,
P0252,Merlecliff,Isaaclillya,
P0253,J,Ivanovici,
P0254,Charles,Ives,
P0255,Michael,Jackson,
P0256,Gordon,Jacob,
P0257,Don,Jacoby,
P0258,Robert,Jager,
P0259,Ralphc,Jarrett,
P0260,Josephwillcox,Jenkins,
P0261,Leon,Jessel,
P0262,Fred,Jewell,
P0263,Jamesp,Johnson,
P0264,,Jolson,
P0265,Scott,Joplin,
P0266,Gus,Kahn,
P0267,Brant,Karrick,
P0268,Hershy,Kay,
P0269,Don,Keller,
P0270,George,Kenny,
P0271,Fred,Kepner,
P0272,Jerome,Kern,
P0273,Albertw,Ketelbey,
P0274,Francisscott,Key,
P0275,Aram,Khachaturian,
P0276,Wh,Kiefer,
P0277,Karll,King,
P0278,Wayne,King,
P0279,Theron,Kirk,
P0280,Cynli,Kistler,
P0281,George,Kleinsinger,
P0282,Johnn,Klohr,
P0283,Thomas,Knox,
P0284,Jeff,Kressler,
P0285,,Kynaston,
P0286,Homer,Lagassey,
P0287,Francis,Lai,
P0288,Fi,Lankey,
P0289,Larserik,Larsson,
P0290,Keithp,Latey,
P0291,,Laurendeau,
P0292,Paul,Lavalle,
P0293,H,Lazarus,
P0294,Ej,Leach,
P0295,Lester,Lee,
P0296,Pierre,Leemans,
P0297,Erik,Leidzen,
P0298,Mitch,Leigh,
P0299,Chester,Leoni,
P0300,Adamp,Lesinsky,
P0301,Henderson,Lewisyoungand,
P0302,Norman,Leyden,
P0303,Paul,Lincke,
P0304,Harryj,Lincoln,
P0305,Alexf,Lithgow,
P0306,Larry,Livingston,
P0307,Frank,Loesser,
P0308,Frederick,Loewe,
P0309,Robert,Logan,
P0310,Newellh,Long,
P0311,Howard,Loomis,
P0312,S,Lope,
P0313,Ronald,Lopresti,
P0314,Fh,Losey,
P0315,Ernst,Luthold,
P0316,Carl,Mader,
P0317,Gustav,Mahler,
P0318,Timothy,Mahr,
P0319,Alberthay,Malotte,
P0320,Richard,Maltby,
P0321,Henry,Mancini,
P0322,Barry,Manilow,
P0323,Ze,Manner,
P0324,Bert,Mannin,
P0325,Simone,Mantia,
P0326,Pascual,Marquina,
P0327,David,Maslanka,
P0328,,Massenet,
P0329,Wfrancis,Mcbeth,
P0330,Robert,Mcbride,
P0331,Earle,Mccoy,
P0332,James,Mcleod,
P0333,Fw,Meacham,
P0334,Felix,Mendelssohn,
P0335,Alan,Menken,
P0336,Peter,Mennin,
P0337,Ted,Mesang,
P0338,Astephen,Miescer,
P0339,Bill,Moffit,
P0340,Johnj,Momssey,
P0341,,Monterde,
P0342,Donaldi,Moore,
P0343,Robi,Moore,
P0344,Lucille,Morris,
P0345,Cs,Morrison,
P0346,Johnj,Morrissey,
P0347,John,Moss,
P0348,Robertgorham,Morse,
P0349,Bennie,Moten,
P0350,Modeste,Moussorgsky,
P0351,Wolfganga,Mozart,
P0352,Wiliamh,Myddleton,
P0353,Theldon,Myers,
P0354,Ron,Nelson,
P0355,Sammy,Nestico,
P0356,Randy,Newman,
P0357,Roger,Nichols,
P0358,John,Oreilly,
P0359,,Officialusnavyb,
P0360,Wayne,Oldham,
P0361,A,Olman,
P0362,Glenn,Osser,
P0363,Eric,Osterling,
P0364,Leroy,Ostransky,
P0365,Grahamt,Overgard,
P0366,Jack,Owens,
P0367,Jose,Padilla,
P0368,Gpierluigi,Palestrina,
P0369,Franka,Panella,
P0370,Louis,Panella,
P0371,Marty,Panzer,
P0372,Gabriel,Pares,
P0373,Roberth,Pearson,
P0374,Frank,Perkins,
P0375,Vincent,Persichetti,
P0376,A,Pestalozza,
P0377,Ted,Peterson,
P0378,Jamesd,Ployhar,
P0379,Eddiegeorge,Polewyle,
P0380,Cole,Porter,
P0381,Sam,Pottle,
P0382,Jacques,Press,
P0383,Robert,Prince,
P0384,Serge,Prokofiev,
P0385,Arthur,Pryor,
P0386,,Pryor,
P0387,,Rado,
P0388,,Ragni,
P0389,Maurice,Ravel,
P0390,Howen,Reed,
P0391,,Regney,
P0392,,Rehmann,
P0393,Ottorino,Respighi,
P0394,Jj,Richards,
P0395,Clive,Richardson,
P0396,Nickolai,Rimskykorsakov,
P0397,Lionel,Ritchie,
P0398,Charlesj,Roberts,
P0399,Daniela,Robles,
P0400,Richard,Rodgers,
P0401,Juventino,Rosas,
P0402,David,Rose,
P0403,George,Rosey,
P0404,Gioacchino,Rossini,
P0405,Ron,Roullier,
P0406,Miklos,Rozsa,
P0407,Ralph,Rydholm,
P0408,Barry,Sadler,
P0409,Manano,Sanmiguel,
P0410,J,Sanderson,
P0411,Bill,Sauter,
P0412,Alouis,Scarmolin,
P0413,Willis,Schaefer,
P0414,David,Schanke,
P0415,Lalo,Schiffrin,
P0416,Williamj,Schinstine,
P0417,Arnold,Schonberg,
P0418,William,Schuman,
P0419,Stephen,Schwartz,
P0420,Irap,Schwarz,
P0421,Rolandf,Seitz,
P0422,Juliuss,Seredy,
P0423,Larry,Shay,
P0424,,Shayne,
P0425,John,Shea,
P0426,Mich,Shea,
P0427,R,Sherm,
P0428,Richard,Sherman,
P0429,Dimitri,Shostakovich,
P0430,Harry,Simeone,
P0431,Frank,Simon,
P0432,Paul,Simon,
P0433,Noble,Sissle,
P0434,Wl,Skaggs,
P0435,Red,Skelton,
P0436,Frank,Skinner,
P0437,Claudet,Smith,
P0438,Johnstaffor,Smith,
P0439,,Smith,
P0440,Harry,Sosnik,
P0441,Johnphilip,Sousa,
P0442,Philip,Sparke,
P0443,Fj,Stclair,
P0444,Jack,Stamp,
P0445,John,Stanley,
P0446,Williamc,Steere,
P0447,William,Steffe,
P0448,Max,Steiner,
P0449,Theo,Steinmetz,
P0450,Glenn,Stevens,
P0451,John,Stewart,
P0452,Harry,Stone,
P0453,Richard,Strauss,
P0454,Charles,Strouse,
P0455,Hughm,Stuart,
P0456,Arthur,Sullivan,
P0457,Fvon,Suppe,
P0458,James,Swearingen,
P0459,Jamesl,Tarver,
P0460,John,Tatgenhorst,
P0461,Js,Taylor,
P0462,Otis,Taylor,
P0463,C,Teike,
P0464,Gp,Telemann,
P0465,Jaime,Texidor,
P0466,Ronald,Thielman,
P0467,Nell,Toflerton,
P0468,Mel,Torme,
P0469,Peteri,Tschaikovsky,
P0470,,Tschesnokoff,
P0471,Terig,Tucci,
P0472,A,Turlet,
P0473,Thomas,Tyra,
P0474,Theoc,Vanetten,
P0475,,Various,
P0476,Ralph,Vaughanwilliams,
P0477,Giuseppe,Verdi,
P0478,M,Vessella,
P0479,Hector,Villalobos,
P0480,En,Vonresnicek,
P0481,Albert,Vontilzer,
P0482,Jf,Wagner,
P0483,E,Waldteufel,
P0484,Haroldl,Walters,
P0485,William,Walton,
P0486,John,Wamngton,
P0487,Samuela,Ward,
P0488,Robert,Washburn,
P0489,Bernard,Wayne,
P0490,Jim,Webb,
P0491,Andrewlloyd,Webber,
P0492,Paul,Webster,
P0493,Jaromir,Weinberger,
P0494,Percy,Wenrich,
P0495,Floyd,Werle,
P0496,Paulw,Whear,
P0497,Donald,White,
P0498,Williamc,White,
P0499,Rudy,Wiedoeft,
P0500,Clifton,Williams,
P0501,Ernests,Williams,
P0502,John,Williams,
P0503,Pat,Williams,
P0504,Paul,Williams,
P0505,Meredith,Willson,
P0506,Haydn,Wood,
P0507,Robert,Wright,
P0508,Allie,Wrubel,
P0509,Paul,Yoder,
P0510,Vincent,Youmans,
P0511,Victor,Young,
P0512,John,Zdechlik,
P0513,Hans,Zimmer,
P0514,Charlesa,Zimmermann,
P0515,Jaroslav,Maren,
P0516,John,Wasson,
P0517,,Puccini,
P0518,Mark,Camphouse,
P0519,David,Gillingham,
P0520,Hugh,Martin,
P0521,Dwayne,Milburn,
P0522,James,Colonna,James
P0523,Richard,Addinsell,
P0524,Richard,Saucedo,
P0525,David,Wells,
P0526,Lloyd,Larson,
P0527,Wroy,Mitchell,
P0528,Robert,Spittal,
P0529,Randol,Bass,
P0530,Bernhard,Heiden,
P0531,Boris,Kozhevnikov,
P0532,Gary,Sullivan,Dr. Gary
P0533,Catherine,Mcmichael,
P0534,James,Ployhar,
P0535,Michael,Sweeney,
P0536,M,Brand,
P0537,M,Hindley,
P0538,Mayhew,Lake,
P0539,Hr,Kent,
P0540,Mark,Spede,
P0541,George,Drumm,
P0542,Hrobert,Reynolds,
P0543,Keith,Wilson,
P0544,James,Stephenson,
P0545,L,Pay,
P0546,G,Smith,
P0547,Christopher,Weait,
P0548,Richardfranko,Goldman,
P0549,Louisphilippe,Laurendeau,
P0550,Roger,Niese,
P0551,Robertw,Smith,
P0552,Thomas,Zimmerman,
P0553,Alex,Steurs,
P0554,,Bourgeois,
P0555,Naohiro,Iwai,
P0556,Samuel,Mcilhagga,Dr. Samuel
P0557,Goff,Richards,
P0558,Robert,King,
P0559,Blittell,Bruske,
P0560,Hawley,Ades,
P0561,John,Anderson,
P0562,Johnl,Bach,
P0563,,Bachman,
P0564,Glenncliff,Bainum,
P0565,Robertm,Ban,
P0566,Eric,Banks,
P0567,Robertj,Bardeen,
P0568,Clifford,Barnes,
P0569,Walter,Beeler,
P0570,Jay,Bocock,
P0571,,Bostonbrass,
P0572,Rosarlo,Bourdon,
P0573,Keith,Brion,
P0574,Lester,Brockton,
P0575,Tconway,Brown,
P0576,Jacktransc,Bullock,
P0577,Jamesh,Burden,
P0578,Howard,Cable,
P0579,Antonio,Cafarella,
P0580,Ralph,Carmichael,
P0581,Charles,Carter,
P0582,,Cheetham,
P0583,Ed,Chenette,
P0584,Lw,Chidester,
P0585,,Clark,
P0586,Larry,Clark,
P0587,Tom,Clark,
P0588,Ml,Cleveland,
P0589,Hugh,Conrad,
P0590,,Cramer,
P0591,Robert,Cray,
P0592,Travis,Cross,
P0593,Antonio,Delia,
P0594,,Damrosch,
P0595,Albertoliver,Davis,
P0596,Carroll,Decamp,
P0597,Normanc,Dietz,
P0598,,Dimartino,
P0599,,Dolmatsch,
P0600,Carmen,Dragon,
P0601,M,Duker,
P0602,Patrick,Dunnigan,
P0603,Wj,Duthoit,
P0604,John,Edmondson,
P0605,Michael,Edwards,
P0606,,Ehret,
P0607,Rb,Eisenberg,
P0608,,Endahl,
P0609,Dalew,Eymann,
P0610,Leonard,Falcone,
P0611,Nicholas,Falcone,
P0612,E,Fall,
P0613,Frederick,Fennell,
P0614,Don,Ferris,
P0615,,Forester,
P0616,,Forsblad,
P0617,Maurice,Gardner,
P0618,Af,Gaylord,
P0619,Harry,Gee,
P0620,Marty,Gold,
P0621,Richardf,Goldman,
P0622,John,Gready,
P0623,Fh,Greissinger,
P0624,Aa,Harding,
P0625,Majdale,Harpham,
P0626,Robert,Hawkins,
P0627,,Hearshon,
P0628,Luther,Henderson,
P0629,Harry,Henneman,
P0630,Franz,Henning,
P0631,Re,Hildreth,
P0632,Mark,Hindsley,
P0633,Bill,Holcombe,
P0634,Roger,Holmes,
P0635,Bruce,Houseknecht,
P0636,Fredk,Huffer,
P0637,Herman,Hummel,
P0638,Donald,Hunsberger,
P0639,Merlej,Isaac,
P0640,,Jamescroft,
P0641,Paul,Jennings,
P0642,David,John,
P0643,Clairw,Johnson,
P0644,Maurice,Johnstone,
P0645,Quincy,Jones,
P0646,James,Jurrens,
P0647,Jim,Kasprzak,
P0648,Stan,Kenton,
P0649,Jerrolda,Kiser,
P0650,Fhenri,Klickmann,
P0651,Charles,Koff,
P0652,John,Krance,
P0653,Joseph,Kreines,
P0654,,Laird,
P0655,Fred,Lampe,
P0656,Philipj,Lang,
P0657,E,Lawler,
P0658,Hal,Leonard,
P0659,Buckley,Lewis,
P0660,,Longfield,
P0661,Robert,Lowden,
P0662,Charles,Mackerras,
P0663,Josephe,Maddy,
P0664,Luis,Maldonado,
P0665,Albert,Mancini,
P0666,,Mcleod,
P0667,William,Mcrae,
P0668,Roland,Moehlmann,
P0669,Pj,Molenaar,
P0670,Emil,Mollenhauer,
P0671,P,Mondrone,
P0672,Frank,Morton,
P0673,Paul,Murtha,
P0674,Roberte,Nelson,
P0675,,Newreformationjazz,
P0676,Jerry,Nowak,
P0677,Johnp,Paynter,
P0678,Fred,Pendergraft,
P0679,Ian,Polster,
P0680,Gardner,Read,
P0681,Buryl,Red,
P0682,Gh,Reeves,
P0683,J,Renshaw,
P0684,Williamd,Revelli,
P0685,Williame,Rhoads,
P0686,Frank,Richards,
P0687,Norman,Richardson,
P0688,Charlesb,Righter,
P0689,James,Riley,
P0690,Roy,Ringwald,
P0691,Goergef,Roach,
P0692,Wayne,Robinson,
P0693,Rmark,Rogers,
P0694,Robertw,Ross,
P0695,Alfred,Roth,
P0696,Vf,Safranek,
P0697,,Saucedo,
P0698,,Sauter,
P0699,William,Schaefer,
P0700,Lorasj,Schissel,
P0701,William,Schoenfeld,
P0702,,Schuller,
P0703,William,Schulz,
P0704,Wayne,Scott,
P0705,R,Shaw,
P0706,,Sherwin,
P0707,,Sinclair,
P0708,Earl,Slocum,
P0709,Claudeb,Smith,
P0710,Johnstafford,Smith,
P0711,J,Spaniola,
P0712,Paul,Sterrett,
P0713,,Stout,
P0714,William,Teague,
P0715,Robert,Thygerson,
P0716,Theom,Tobani,
P0717,Vito,Tose,
P0718,William,Trague,
P0719,,Usairforce,
P0720,Zane,Vanauken,
P0721,Paul,Vanloan,
P0722,,Walker,
P0723,John,Warrington,
P0724,Anton,Weiss,
P0725,Robert,Wells,
P0726,,Wendt,
P0727,Floyde,Werle,
P0728,Ken,Whitcomb,
P0729,Charles,Wiley,
P0730,Peter,Wilhousky,
P0731,Vincent,Yoder,
P0732,Scott,Toaz,
P0733,Steve,Rouse,
P0734,Michael,Brown,
P0735,,None,
P0736,Rich,Ridenour,
P0737,Ray,Woodfield,
P0738,Rafael,Soliz,
P0739,Albert,Ligotti,
P0740,Dan,Alt,
P0741,John,Bourgeious,
P0742,Carl,Strommen,
P0743,John,Boyd,
P0744,Kelly,Sandulagruner,
P0745,Dan,Templin,
P0746,William,Blythe,
P0747,Chris,Wheeler,
P0748,Tawnya,Hicksletts,
P0749,Mallory,Voris,
P0750,Penelope,Wernet,
P0751,John,Endahl,John
P0752,Carolyn,Sherrill,
P0753,Ken,Glickman,
P0754,Michelle,Pollok,
P0755,Alec,Jachalke,
P0756,,Lcbbigband,
P0757,Alex,Belkin,
P0758,Annamaria,Horn,
P0759,Zora,Alfredson,
P0760,Henry,Nelson,
P0761,Karl,Rueterbusch,
P0762,Andy,Schor,
P0763,Paul,Gifford,
P0764,,Capitalcitybrassband,
P0765,Ralph,Votapek,
P0766,David,Larzelere,
P0767,Nathan,Phillips,
P0768,John,Madden,John T.
P0769,Donald,Flickinger,Donald
P0770,Kenneth,Bloomquist,Kenneth G.
P0771,Richard,Suddendorf,Richard J.
P0772,Wesley,Broadnax,Dr. Wesley J.
P0773,John,Whitwell,John
P0774,Ken,Bauman,Ken
P0775,Nathan,Kruse,Nathan
P0776,Kevin,Sedatole,Dr. Kevin
